"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","12","12041","Gilchrist County (FL)","15,058","1,954","1,478","2,429","1,478 to 2,429","13.0","9.8","16.1","9.8 to 16.1","3,656","642","466","818","466 to 818","17.6","12.8","22.4","12.8 to 22.4","2,657","458","315","601","315 to 601","17.2","11.8","22.6","11.8 to 22.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,644","$30,602","$34,821","$30,602 to $34,821"
"2003","12","12041","Gilchrist County (FL)","14,679","2,084","1,579","2,589","1,579 to 2,589","14.2","10.8","17.6","10.8 to 17.6","3,658","771","567","975","567 to 975","21.1","15.5","26.7","15.5 to 26.7","2,655","557","391","723","391 to 723","21.0","14.7","27.2","14.7 to 27.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,908","$28,975","$32,971","$28,975 to $32,971"
"2002","12","12041","Gilchrist County (FL)","14,313","2,382","1,786","2,977","1,786 to 2,977","16.6","12.5","20.8","12.5 to 20.8","3,583","706","522","890","522 to 890","19.7","14.6","24.8","14.6 to 24.8","2,674","537","381","693","381 to 693","20.1","14.2","25.9","14.2 to 25.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,148","$28,090","$32,357","$28,090 to $32,357"
"2001","12","12041","Gilchrist County (FL)","13,753","2,406","1,820","2,991","1,820 to 2,991","17.5","13.2","21.8","13.2 to 21.8","3,546","761","560","962","560 to 962","21.5","15.8","27.1","15.8 to 27.1","2,609","557","392","722","392 to 722","21.4","15.0","27.7","15.0 to 27.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,889","$27,860","$32,066","$27,860 to $32,066"
"2000","12","12041","Gilchrist County (FL)","13,338","2,191","1,673","2,709","1,673 to 2,709","16.4","12.5","20.3","12.5 to 20.3","3,551","783","583","983","583 to 983","22.0","16.4","27.7","16.4 to 27.7","2,592","562","405","719","405 to 719","21.7","15.6","27.7","15.6 to 27.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,708","$28,441","$33,156","$28,441 to $33,156"
"1999","12","12041","Gilchrist County (FL)","13,123","1,962","1,491","2,432","1,491 to 2,432","14.9","11.4","18.5","11.4 to 18.5","3,491","759","566","953","566 to 953","21.7","16.2","27.3","16.2 to 27.3","2,558","556","401","711","401 to 711","21.7","15.7","27.8","15.7 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,463","$27,477","$31,593","$27,477 to $31,593"
"1998","12","12041","Gilchrist County (FL)","12,928","2,156","1,666","2,646","1,666 to 2,646","16.7","12.9","20.5","12.9 to 20.5","3,680","839","625","1,053","625 to 1,053","22.8","17.0","28.6","17.0 to 28.6","2,689","689","499","879","499 to 879","25.6","18.5","32.7","18.5 to 32.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,197","$26,136","$32,241","$26,136 to $32,241"
"1997","12","12041","Gilchrist County (FL)","NA","2,348","1,789","2,907","1,789 to 2,907","18.4","14.0","22.8","14.0 to 22.8","NA","909","675","1,144","675 to 1,144","25.0","18.6","31.4","18.6 to 31.4","NA","678","491","865","491 to 865","25.3","18.3","32.3","18.3 to 32.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,483","$24,384","$30,565","$24,384 to $30,565"
"1996","12","12041","Gilchrist County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12041","Gilchrist County (FL)","NA","2,153","1,675","2,630","1,675 to 2,630","18.1","14.1","22.2","14.1 to 22.2","NA","829","643","1,015","643 to 1,015","24.3","18.8","29.7","18.8 to 29.7","NA","558","427","689","427 to 689","22.5","17.2","27.8","17.2 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,825","$23,668","$29,964","$23,668 to $29,964"
"1993","12","12041","Gilchrist County (FL)","NA","1,938","1,535","2,340","1,535 to 2,340","17.8","14.1","21.5","14.1 to 21.5","NA","698","548","848","548 to 848","22.3","17.5","27.1","17.5 to 27.1","NA","436","335","537","335 to 537","19.6","15.1","24.1","15.1 to 24.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,208","$20,923","$25,480","$20,923 to $25,480"
"1989","12","12041","Gilchrist County (FL)","NA","1,374","1,082","1,666","1,082 to 1,666","15.5","12.2","18.8","12.2 to 18.8","NA","528","412","644","412 to 644","22.3","17.4","27.2","17.4 to 27.2","NA","344","263","426","263 to 426","20.6","15.8","25.5","15.8 to 25.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$19,150","$16,818","$21,469","$16,818 to $21,469"
"2017","12","12043","Glades County (FL)","12,243","2,312","1,756","2,868","1,756 to 2,868","18.9","14.4","23.4","14.4 to 23.4","2,100","618","458","778","458 to 778","29.4","21.8","37.0","21.8 to 37.0","1,670","425","307","543","307 to 543","25.4","18.3","32.5","18.3 to 32.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,865","$38,256","$47,474","$38,256 to $47,474"
"2016","12","12043","Glades County (FL)","12,453","2,672","2,077","3,267","2,077 to 3,267","21.5","16.7","26.3","16.7 to 26.3","2,205","676","517","835","517 to 835","30.7","23.5","37.9","23.5 to 37.9","1,748","457","342","572","342 to 572","26.1","19.5","32.7","19.5 to 32.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,607","$35,645","$43,569","$35,645 to $43,569"
"2015","12","12043","Glades County (FL)","12,151","2,683","2,076","3,290","2,076 to 3,290","22.1","17.1","27.1","17.1 to 27.1","2,166","716","561","871","561 to 871","33.1","25.9","40.3","25.9 to 40.3","1,706","483","369","597","369 to 597","28.3","21.6","35.0","21.6 to 35.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,215","$36,338","$44,092","$36,338 to $44,092"
"2014","12","12043","Glades County (FL)","12,111","2,559","1,995","3,123","1,995 to 3,123","21.1","16.4","25.8","16.4 to 25.8","2,289","666","506","826","506 to 826","29.1","22.1","36.1","22.1 to 36.1","1,746","438","327","549","327 to 549","25.1","18.7","31.5","18.7 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,783","$34,775","$42,791","$34,775 to $42,791"
"2013","12","12043","Glades County (FL)","11,822","2,848","2,242","3,454","2,242 to 3,454","24.1","19.0","29.2","19.0 to 29.2","2,268","817","640","994","640 to 994","36.0","28.2","43.8","28.2 to 43.8","1,695","530","397","663","397 to 663","31.3","23.5","39.1","23.5 to 39.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,003","$35,168","$42,838","$35,168 to $42,838"
"2012","12","12043","Glades County (FL)","11,598","3,047","2,470","3,624","2,470 to 3,624","26.3","21.3","31.3","21.3 to 31.3","2,361","796","623","969","623 to 969","33.7","26.4","41.0","26.4 to 41.0","1,732","539","414","664","414 to 664","31.1","23.9","38.3","23.9 to 38.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,004","$33,356","$40,652","$33,356 to $40,652"
"2011","12","12043","Glades County (FL)","11,115","2,465","1,863","3,067","1,863 to 3,067","22.2","16.8","27.6","16.8 to 27.6","2,352","791","599","983","599 to 983","33.6","25.4","41.8","25.4 to 41.8","1,673","533","393","673","393 to 673","31.9","23.5","40.3","23.5 to 40.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,825","$35,154","$42,496","$35,154 to $42,496"
"2010","12","12043","Glades County (FL)","11,321","2,383","1,811","2,955","1,811 to 2,955","21.0","15.9","26.1","15.9 to 26.1","2,360","684","511","857","511 to 857","29.0","21.7","36.3","21.7 to 36.3","1,652","459","342","576","342 to 576","27.8","20.7","34.9","20.7 to 34.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,089","$35,713","$42,465","$35,713 to $42,465"
"2009","12","12043","Glades County (FL)","9,927","2,131","1,624","2,637","1,624 to 2,637","21.5","16.4","26.6","16.4 to 26.6","1,879","577","450","704","450 to 704","30.7","23.9","37.5","23.9 to 37.5","1,418","384","297","471","297 to 471","27.1","20.9","33.2","20.9 to 33.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,920","$31,920","$37,920","$31,920 to $37,920"
"2008","12","12043","Glades County (FL)","10,127","2,208","1,779","2,636","1,779 to 2,636","21.8","17.6","26.0","17.6 to 26.0","1,873","497","388","605","388 to 605","26.5","20.7","32.3","20.7 to 32.3","1,483","314","240","388","240 to 388","21.2","16.2","26.2","16.2 to 26.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,251","$35,240","$43,262","$35,240 to $43,262"
"2007","12","12043","Glades County (FL)","10,294","1,686","1,294","2,078","1,294 to 2,078","16.4","12.6","20.2","12.6 to 20.2","1,956","452","338","566","338 to 566","23.1","17.3","28.9","17.3 to 28.9","1,554","285","210","360","210 to 360","18.3","13.5","23.2","13.5 to 23.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,220","$33,842","$40,598","$33,842 to $40,598"
"2006","12","12043","Glades County (FL)","10,411","1,641","1,282","2,000","1,282 to 2,000","15.8","12.3","19.2","12.3 to 19.2","2,064","445","349","540","349 to 540","21.6","16.9","26.2","16.9 to 26.2","1,630","283","216","350","216 to 350","17.4","13.3","21.5","13.3 to 21.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,040","$32,699","$39,382","$32,699 to $39,382"
"2005","12","12043","Glades County (FL)","10,231","1,553","1,232","1,873","1,232 to 1,873","15.2","12.0","18.3","12.0 to 18.3","2,118","482","370","594","370 to 594","22.8","17.5","28.1","17.5 to 28.1","1,712","321","241","401","241 to 401","18.7","14.1","23.4","14.1 to 23.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,415","$31,341","$37,490","$31,341 to $37,490"
"2004","12","12043","Glades County (FL)","10,446","1,269","933","1,604","933 to 1,604","12.1","8.9","15.4","8.9 to 15.4","2,155","362","253","471","253 to 471","16.8","11.8","21.9","11.8 to 21.9","1,716","265","175","355","175 to 355","15.4","10.2","20.7","10.2 to 20.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,973","$29,843","$34,254","$29,843 to $34,254"
"2003","12","12043","Glades County (FL)","10,317","1,357","1,006","1,708","1,006 to 1,708","13.2","9.7","16.6","9.7 to 16.6","2,237","427","302","553","302 to 553","19.1","13.5","24.7","13.5 to 24.7","1,722","312","209","415","209 to 415","18.1","12.1","24.1","12.1 to 24.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,598","$29,503","$33,842","$29,503 to $33,842"
"2002","12","12043","Glades County (FL)","10,366","1,602","1,146","2,058","1,146 to 2,058","15.5","11.1","19.9","11.1 to 19.9","2,281","377","258","497","258 to 497","16.5","11.3","21.8","11.3 to 21.8","1,686","297","193","401","193 to 401","17.6","11.5","23.8","11.5 to 23.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,954","$28,693","$33,394","$28,693 to $33,394"
"2001","12","12043","Glades County (FL)","10,165","1,732","1,267","2,198","1,267 to 2,198","17.0","12.5","21.6","12.5 to 21.6","2,306","505","349","661","349 to 661","21.9","15.1","28.6","15.1 to 28.6","1,670","374","247","501","247 to 501","22.4","14.8","30.0","14.8 to 30.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,479","$28,307","$32,818","$28,307 to $32,818"
"2000","12","12043","Glades County (FL)","9,962","1,539","1,145","1,933","1,145 to 1,933","15.5","11.5","19.4","11.5 to 19.4","2,330","553","396","710","396 to 710","23.7","17.0","30.5","17.0 to 30.5","1,655","395","272","518","272 to 518","23.9","16.4","31.3","16.4 to 31.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,379","$28,092","$32,853","$28,092 to $32,853"
"1999","12","12043","Glades County (FL)","9,862","1,440","1,102","1,779","1,102 to 1,779","14.6","11.2","18.0","11.2 to 18.0","2,319","519","386","652","386 to 652","22.4","16.7","28.1","16.7 to 28.1","1,633","364","260","468","260 to 468","22.3","15.9","28.7","15.9 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,844","$26,893","$30,936","$26,893 to $30,936"
"1998","12","12043","Glades County (FL)","7,976","1,413","1,101","1,725","1,101 to 1,725","17.7","13.8","21.6","13.8 to 21.6","2,049","608","446","770","446 to 770","29.7","21.8","37.6","21.8 to 37.6","1,506","433","310","556","310 to 556","28.8","20.6","36.9","20.6 to 36.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,747","$24,671","$30,807","$24,671 to $30,807"
"1997","12","12043","Glades County (FL)","NA","1,430","1,113","1,748","1,113 to 1,748","18.1","14.1","22.1","14.1 to 22.1","NA","566","424","709","424 to 709","28.0","20.9","35.0","20.9 to 35.0","NA","398","292","504","292 to 504","26.4","19.4","33.5","19.4 to 33.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,336","$23,223","$29,433","$23,223 to $29,433"
"1996","12","12043","Glades County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12043","Glades County (FL)","NA","1,543","1,204","1,881","1,204 to 1,881","17.2","13.4","21.0","13.4 to 21.0","NA","626","479","772","479 to 772","26.4","20.2","32.6","20.2 to 32.6","NA","441","334","548","334 to 548","25.4","19.2","31.5","19.2 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$25,830","$22,747","$28,897","$22,747 to $28,897"
"1993","12","12043","Glades County (FL)","NA","1,367","1,078","1,656","1,078 to 1,656","17.8","14.1","21.6","14.1 to 21.6","NA","501","388","614","388 to 614","24.9","19.3","30.6","19.3 to 30.6","NA","328","250","407","250 to 407","22.5","17.1","27.8","17.1 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$22,369","$20,028","$24,697","$20,028 to $24,697"
"1989","12","12043","Glades County (FL)","NA","1,239","974","1,505","974 to 1,505","16.3","12.8","19.8","12.8 to 19.8","NA","564","427","701","427 to 701","30.6","23.2","38.1","23.2 to 38.1","NA","343","254","432","254 to 432","25.5","18.9","32.1","18.9 to 32.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$18,259","$15,522","$20,981","$15,522 to $20,981"
"2017","12","12045","Gulf County (FL)","13,030","2,810","2,198","3,422","2,198 to 3,422","21.6","16.9","26.3","16.9 to 26.3","2,459","670","504","836","504 to 836","27.2","20.4","34.0","20.4 to 34.0","1,824","468","341","595","341 to 595","25.7","18.7","32.7","18.7 to 32.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,135","$39,638","$48,632","$39,638 to $48,632"
"2016","12","12045","Gulf County (FL)","12,608","2,958","2,351","3,565","2,351 to 3,565","23.5","18.7","28.3","18.7 to 28.3","2,423","725","559","891","559 to 891","29.9","23.1","36.7","23.1 to 36.7","1,780","513","390","636","390 to 636","28.8","21.9","35.7","21.9 to 35.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,381","$34,311","$42,451","$34,311 to $42,451"
"2015","12","12045","Gulf County (FL)","12,441","2,724","2,063","3,385","2,063 to 3,385","21.9","16.6","27.2","16.6 to 27.2","2,437","711","558","864","558 to 864","29.2","22.9","35.5","22.9 to 35.5","1,759","496","377","615","377 to 615","28.2","21.5","34.9","21.5 to 34.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,320","$37,737","$44,903","$37,737 to $44,903"
"2014","12","12045","Gulf County (FL)","12,297","2,836","2,174","3,498","2,174 to 3,498","23.1","17.7","28.5","17.7 to 28.5","2,417","724","555","893","555 to 893","30.0","23.0","37.0","23.0 to 37.0","1,742","495","375","615","375 to 615","28.4","21.5","35.3","21.5 to 35.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,419","$34,421","$42,417","$34,421 to $42,417"
"2013","12","12045","Gulf County (FL)","12,276","2,744","2,125","3,363","2,125 to 3,363","22.4","17.4","27.4","17.4 to 27.4","2,418","719","557","881","557 to 881","29.7","23.0","36.4","23.0 to 36.4","1,742","501","373","629","373 to 629","28.8","21.5","36.1","21.5 to 36.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,880","$35,222","$42,538","$35,222 to $42,538"
"2012","12","12045","Gulf County (FL)","12,213","2,974","2,400","3,548","2,400 to 3,548","24.4","19.7","29.1","19.7 to 29.1","2,445","725","568","882","568 to 882","29.7","23.3","36.1","23.3 to 36.1","1,776","501","388","614","388 to 614","28.2","21.9","34.5","21.9 to 34.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,940","$31,930","$37,950","$31,930 to $37,950"
"2011","12","12045","Gulf County (FL)","12,347","2,859","2,242","3,476","2,242 to 3,476","23.2","18.2","28.2","18.2 to 28.2","2,469","695","539","851","539 to 851","28.1","21.8","34.4","21.8 to 34.4","1,812","461","346","576","346 to 576","25.4","19.1","31.7","19.1 to 31.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,373","$33,615","$41,131","$33,615 to $41,131"
"2010","12","12045","Gulf County (FL)","12,348","2,604","2,017","3,191","2,017 to 3,191","21.1","16.3","25.9","16.3 to 25.9","2,523","671","507","835","507 to 835","26.6","20.1","33.1","20.1 to 33.1","1,865","465","354","576","354 to 576","24.9","19.0","30.8","19.0 to 30.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,403","$36,718","$42,088","$36,718 to $42,088"
"2009","12","12045","Gulf County (FL)","12,104","2,781","2,111","3,451","2,111 to 3,451","23.0","17.4","28.5","17.4 to 28.5","2,445","683","529","836","529 to 836","27.9","21.6","34.2","21.6 to 34.2","1,801","457","350","564","350 to 564","25.4","19.4","31.3","19.4 to 31.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,656","$32,783","$38,529","$32,783 to $38,529"
"2008","12","12045","Gulf County (FL)","12,223","2,590","2,071","3,110","2,071 to 3,110","21.2","16.9","25.4","16.9 to 25.4","2,492","618","484","751","484 to 751","24.8","19.4","30.1","19.4 to 30.1","1,831","409","311","507","311 to 507","22.3","17.0","27.7","17.0 to 27.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,632","$35,038","$42,226","$35,038 to $42,226"
"2007","12","12045","Gulf County (FL)","12,299","2,054","1,582","2,527","1,582 to 2,527","16.7","12.9","20.5","12.9 to 20.5","2,548","563","425","701","425 to 701","22.1","16.7","27.5","16.7 to 27.5","1,887","375","277","473","277 to 473","19.9","14.7","25.1","14.7 to 25.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,160","$34,453","$41,867","$34,453 to $41,867"
"2006","12","12045","Gulf County (FL)","12,365","2,376","1,925","2,828","1,925 to 2,828","19.2","15.6","22.9","15.6 to 22.9","2,595","686","556","817","556 to 817","26.4","21.4","31.5","21.4 to 31.5","1,936","468","369","567","369 to 567","24.2","19.1","29.3","19.1 to 29.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,278","$33,268","$39,288","$33,268 to $39,288"
"2005","12","12045","Gulf County (FL)","12,176","2,147","1,712","2,583","1,712 to 2,583","17.6","14.1","21.2","14.1 to 21.2","2,647","642","496","789","496 to 789","24.3","18.7","29.8","18.7 to 29.8","2,052","440","333","547","333 to 547","21.4","16.2","26.7","16.2 to 26.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,823","$31,999","$37,647","$31,999 to $37,647"
"2004","12","12045","Gulf County (FL)","12,243","1,777","1,346","2,208","1,346 to 2,208","14.5","11.0","18.0","11.0 to 18.0","2,680","517","377","658","377 to 658","19.3","14.1","24.6","14.1 to 24.6","2,037","361","248","474","248 to 474","17.7","12.2","23.3","12.2 to 23.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,893","$30,804","$35,123","$30,804 to $35,123"
"2003","12","12045","Gulf County (FL)","12,240","1,894","1,441","2,347","1,441 to 2,347","15.5","11.8","19.2","11.8 to 19.2","2,757","624","461","787","461 to 787","22.6","16.7","28.6","16.7 to 28.6","2,063","448","315","581","315 to 581","21.7","15.3","28.1","15.3 to 28.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,543","$29,544","$33,678","$29,544 to $33,678"
"2002","12","12045","Gulf County (FL)","12,105","2,287","1,684","2,890","1,684 to 2,890","18.9","13.9","23.9","13.9 to 23.9","2,724","529","393","664","393 to 664","19.4","14.4","24.4","14.4 to 24.4","2,059","388","275","501","275 to 501","18.8","13.4","24.3","13.4 to 24.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,618","$27,516","$31,879","$27,516 to $31,879"
"2001","12","12045","Gulf County (FL)","11,919","2,439","1,825","3,053","1,825 to 3,053","20.5","15.3","25.6","15.3 to 25.6","2,709","648","489","808","489 to 808","23.9","18.0","29.8","18.0 to 29.8","2,024","453","326","580","326 to 580","22.4","16.1","28.7","16.1 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,246","$27,202","$31,445","$27,202 to $31,445"
"2000","12","12045","Gulf County (FL)","11,912","2,219","1,679","2,759","1,679 to 2,759","18.6","14.1","23.2","14.1 to 23.2","2,793","657","501","813","501 to 813","23.5","17.9","29.1","17.9 to 29.1","2,029","459","337","581","337 to 581","22.6","16.6","28.7","16.6 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,014","$27,756","$32,456","$27,756 to $32,456"
"1999","12","12045","Gulf County (FL)","11,974","1,973","1,508","2,437","1,508 to 2,437","16.5","12.6","20.4","12.6 to 20.4","2,864","695","522","868","522 to 868","24.3","18.2","30.3","18.2 to 30.3","2,097","514","373","655","373 to 655","24.5","17.8","31.2","17.8 to 31.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,058","$27,169","$31,079","$27,169 to $31,079"
"1998","12","12045","Gulf County (FL)","12,129","2,194","1,698","2,689","1,698 to 2,689","18.1","14.0","22.2","14.0 to 22.2","3,196","810","605","1,015","605 to 1,015","25.3","18.9","31.8","18.9 to 31.8","2,428","679","495","863","495 to 863","28.0","20.4","35.5","20.4 to 35.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,147","$26,042","$32,235","$26,042 to $32,235"
